geouid_21	transit_per_21	den_21
0010001.00	0.03418803418803419	161.91658782718386
0010002.00	0.04710144927536233	2266.5240859558
0010003.01	0.04421768707482993	2569.006065107068
0010003.02	0.049689440993788817	2366.725843266548
0010004.01	0.14098360655737704	690.6455142231948
0010004.02	0.04573170731707317	1263.4753785050916
0010005.01	0.08588957055214724	2289.1068662880743
0010005.02	0.10849056603773585	3191.2946201566156
0010006.00	0.07608695652173914	2625.3940957294353
0010007.00	0.08045977011494253	4464.951528709918
0010008.00	0.06315789473684211	626.3629755270172
0010009.00	0.07894736842105263	1522.2141296431173
0010010.00	0.01639344262295082	2632.241813602015
0010011.00	0.06666666666666667	5273.234942161947
0010012.00	0.26108374384236455	1900.774544693322
0010013.00	0.06153846153846154	1924.8877696266286
0010014.00	0.034482758620689655	2190.050013161358
0010015.01	0.06832298136645963	495.5008522614659
0010015.02	0.041353383458646614	2658.8181331702467
0010015.03	0.039711191335740074	1765.635738831615
0010015.04	0.01376146788990826	1831.7655340116464
0010016.01	0.018867924528301886	751.957273775566
0010016.02	0.09006928406466513	271.7848979428159
0010017.00	0.006012024048096193	36.97546358964924
0010100.01	0.034013605442176874	532.6229219073433
0010100.03	0.01818181818181818	23.945299103796348
0010100.04	0.009708737864077669	127.45555466173276
0010110.00	0	66.49796731104288
0010170.01	0.05652173913043478	1078.508821427228
0010170.02	0.03914590747330961	2562.7009646302254
0010171.00	0.023668639053254437	1250.193209335875
0010172.02	0.020642201834862386	1094.8211778310067
0010172.03	0.016666666666666666	2398.1329632900215
0010172.04	0.011547344110854502	1084.2441635627201
0010172.05	0.008620689655172414	2518.5470132439414
0010172.06	0	1748.8471089038667
0010200.01	0.011933174224343675	165.87825609406008
0010200.02	0.007894736842105263	189.64286000850527
0010200.03	0.009230769230769232	45.42871523436866
0010201.00	0	86.4617945101187
0010202.01	0.04093567251461988	186.6327304764935
0010202.02	0.006329113924050634	338.16383049135214
0010202.06	0.013297872340425532	1051.5730141782335
0010202.07	0.014018691588785047	2538.7220340864933
0010202.08	0.017114914425427872	738.6096568714848
0010202.09	0.012195121951219513	620.8364954886584
0010202.10	0.00375234521575985	514.211006761252
0010300.01	0.005797101449275362	867.3077283547957
0010300.02	0.010791366906474819	889.2554330526376
0010301.01	0.007272727272727273	322.2500569346391
0010301.02	0.0076481835564053535	599.5132195169099
0010302.00	0.006535947712418301	316.5258306672046
0010400.00	0.012048192771084338	19.60866780885239
2050001.00	0.1245136186770428	722.9655087762367
2050002.00	0.11896551724137931	725.6405136263793
2050003.00	0.06	1219.9763193504737
2050004.01	0.14935064935064934	8402.575820523472
2050004.02	0.1348314606741573	11340.248962655602
2050005.00	0.021052631578947368	2358.2206035379813
2050006.00	0.13761467889908258	3370.967741935484
