geouid_21	CMA_UID	l_change	pca1_cum2005
2050026.05	12205	8.122559910683673	1.5099841113367851
2050121.09	12205	6.159949685884327	3.757965190924584
4620734.06	24462	7.634391269164003	2.309855228380752
4620830.04	24462	7.7261688278393486	1.61639395541201
4620887.06	24462	7.101808974918704	1.818259260774548
5050141.16	35505	8.252226771107956	1.8831672987846644
5050141.18	35505	7.131813743443424	1.4294882911743434
5320202.12	35532	7.246429250358203	1.5755487826935113
5350400.13	35535	8.43613267195	1.6722976656857669
5350400.16	35535	7.676813916465009	2.9310676150163033
5350403.01	35535	7.395798304503362	2.999409177476756
5350403.09	35535	8.61252476640023	0.7737348511971036
5350403.10	35535	8.461820264595712	0.9145222762211636
5350411.09	35535	8.349891544910207	1.4753126879373974
5350411.12	35535	8.312128264150108	3.055483677892169
5350411.23	35535	8.283019462446754	2.491992061762121
5350411.24	35535	8.646868703336908	3.1369731497377797
5350411.25	35535	8.175080282868581	2.280021310038384
5350411.26	35535	8.516313296946798	2.9810605911054795
5350411.27	35535	8.080504900188005	3.9291965032218776
5350412.19	35535	8.040668522575801	2.426346180043687
5350412.20	35535	8.248411759066606	1.9665460062362348
5350412.24	35535	8.39934331218049	2.0243168149790165
5350422.04	35535	8.168727527272479	2.478017845330303
5350422.05	35535	8.182793681171303	1.7351131728970683
5350424.10	35535	7.692092194003101	2.7499656893530258
5350451.06	35535	7.899412170645927	2.0136475801568405
5350516.22	35535	8.298510614042653	2.1303929367788927
5350516.28	35535	8.503111550589596	1.6618531519244013
5350516.29	35535	8.723639634056859	1.8516687634892437
5350516.32	35535	8.173995979887351	3.151701731051687
5350516.40	35535	8.239695225134524	1.9716583486154289
5350516.41	35535	9.034078991884547	0.8184131701574207
5350516.44	35535	8.305759785781081	2.249337484806522
5350516.50	35535	8.499949166134622	0.8258810247404731
5350516.51	35535	8.461021975327176	0.7089914752429136
5350528.39	35535	7.034960817205012	2.0703031816199733
5350528.40	35535	7.442931108213085	2.28649708898922
5350528.49	35535	7.893031239683445	1.8903063775273632
5350528.50	35535	8.693030751918744	2.1982330417950244
5350572.10	35535	8.638984799320383	1.9661835115102224
5350573.06	35535	8.353973906709708	1.9571791978494684
5350573.10	35535	7.666699047616315	1.542388243010426
5350573.11	35535	8.590292844855842	1.7269401453851008
5350576.16	35535	8.769432178060914	1.6569969915062308
5350576.17	35535	8.646592962787013	1.7876479484458958
5350576.22	35535	8.327619265520017	1.8694036317755445
5350576.31	35535	7.697162457369373	3.1627974754586674
5350576.46	35535	8.950992082738914	1.1144946260562705
5350576.68	35535	8.382936372572017	3.3258110554144853
5350612.18	35535	7.92666929852771	1.364240223360924
5350612.19	35535	8.27074944794083	1.3767951182647882
5350612.20	35535	8.2754078011304	1.3329038784077063
5350612.26	35535	8.63268672226326	0.5288640767058466
5350631.03	35535	7.9487909658448	3.1015895340380704
5350820.05	35535	7.683538198449679	2.268059596973047
5370001.04	35537	8.19706444264164	2.343549866164016
5370001.05	35537	8.142704853952035	3.4899649561885617
5370001.08	35537	8.25432828281689	2.7005571019505252
5370001.09	35537	7.709557203149194	3.3177356946822183
5370133.01	35537	5.954586441175357	3.7302523102048104
5370140.06	35537	7.662658885817071	1.9422743096778283
5370223.10	35537	8.040917434838493	2.4188010116707774
5370223.13	35537	7.674193187805186	2.5389768797443075
5370223.15	35537	8.022409728551086	1.6602939883752934
5370223.16	35537	8.060988079425751	1.5192964749622604
5390209.06	35539	7.271901522042678	4.2372173235408095
5410108.04	35541	7.989897966835167	2.2915026101124836
5410109.10	35541	7.697369245009873	3.186920083641496
5410126.10	35541	8.17218520872994	2.5017948362226243
5410126.11	35541	7.074596434592459	2.866735722098412
5500009.06	35550	7.766376191312445	2.2942067763869645
5550027.06	35555	7.390942173793739	2.672001847913355
5590002.02	35559	7.6155869014854	3.649795653547032
5680004.01	35568	7.677558052826661	2.4393554431542386
5680004.03	35568	7.481268623263647	1.566565452540344
5680004.04	35568	7.565732290445116	2.5497430102063845
5680004.07	35568	8.024686392724309	2.0878058197795175
8250001.30	48825	8.004214714289146	3.0436354675428237
8250001.40	48825	8.543121054722286	2.8183624910808174
8250002.06	48825	7.482591858587258	3.409729654997485
8250002.09	48825	7.849426512800039	2.767509481581037
8250002.11	48825	7.3397498140092825	3.6641101748740463
8250002.12	48825	8.09090895375808	3.5313339252760874
8250002.15	48825	7.20993461622159	3.855573937297965
8250002.17	48825	8.050802821442538	2.6467401918186777
8250017.04	48825	7.326110289451881	3.109255441340322
8250017.06	48825	7.705720528753193	3.027605238628986
8250038.24	48825	7.6594760571329505	2.213616294739867
8250038.27	48825	8.085383600708438	3.666916534123235
8250038.48	48825	8.696926308456089	2.5645213845772226
8250049.05	48825	7.258112838807027	3.8148525335759658
8250076.19	48825	7.501773493635392	2.852627700083552
8250076.20	48825	7.475812573977948	1.9845327483124784
8250076.24	48825	8.110928722753918	2.4833711313792692
8250076.34	48825	8.248948076840959	2.1067408579507187
8250077.16	48825	7.568112636719092	3.6342665890537327
8250077.20	48825	7.592494632818336	3.7103756725273223
8250077.22	48825	7.819039603336639	2.973564482412104
8250077.23	48825	7.66791968743899	3.383222032876466
8250077.24	48825	7.858386284844665	2.9587853579026246
8250077.32	48825	7.466919361722798	4.19387653525508
8250205.05	48825	7.198103221732316	3.4798460223842533
8350005.12	48835	7.597802790870502	2.7675945036823215
8350090.22	48835	8.11249270676829	2.9781168527866955
8350104.25	48835	7.243299294212517	4.941004875000216
9150019.04	59915	7.903906519385661	3.789495144459147
9300018.01	59930	6.184110670139046	4.371441299850454
9300020.02	59930	5.325066514126309	5.681707995312713
9320008.04	59932	7.946810751594642	3.1874977753518423
9320106.05	59932	7.344894841858664	3.990629082917568
9330149.06	59933	7.28553730874947	2.0473308573486975
9330180.06	59933	7.310601941931694	2.5825641521423854
9330184.26	59933	8.582015119102397	2.3696384374206265
9330185.18	59933	7.941023856292493	3.4629042517349795
9330185.19	59933	8.9240421091749	1.7142986415863335
9330185.20	59933	8.804281263256552	2.252281640782938
9330187.07	59933	7.650538253361809	2.0387074170359476
9330187.15	59933	8.521339905015314	2.371014040580101
9330188.01	59933	7.0405308888383304	3.279219007055357
9330188.02	59933	7.938683964095576	3.2349052797535744
9330188.07	59933	7.3910979972158035	2.964761699868557
9330280.01	59933	0	12.349665189057186
9330287.17	59933	7.878747146569349	5.668020261581759
9330504.08	59933	8.018516948358423	3.281602795683044
9330504.17	59933	7.810816867611833	2.7009792984440217
9350154.05	59935	6.566198089765522	4.254806596584693
9380001.03	59938	3.7165696584448957	5.459844593402682
