geouid_21	poi_den	den_21
0010001.00	2.168085777357301	161.9
0010002.00	116.10143599144516	2266.5
0010003.01	39.60886248298057	2569
0010003.02	61.374587877250825	2366.7
0010004.01	98.8101750547046	690.6
0010004.02	25.980231134470092	1263.5
0010005.01	145.58595766649458	2289.1
0010005.02	107.80026441574292	3191.3
0010006.00	1826.693417407089	2625.4
0010007.00	1103.65398956003	4465
0010008.00	28.67296664243599	626.4
0010009.00	202.11216314639475	1522.2
0010010.00	215.68010075566752	2632.2
0010011.00	233.34662943757482	5273.2
0010012.00	53.03188891214849	1900.8
0010013.00	106.20825577575823	1924.9
0010014.00	144.1168728612793	2190.1
0010015.01	7.729813295278868	495.5
0010015.02	70.33101444843666	2658.8
0010015.03	42.61168384879725	1765.6
0010015.04	40.314839700518334	1831.8
0010016.01	7.889785761971233	752
0010016.02	5.814652925371937	271.8
0010017.00	0.09856619048244865	37
0010100.01	4.641189629725892	532.6
0010100.03	0.4172976713272494	23.9
0010100.04	1.9628348483629636	127.5
0010110.00	1.0578279266572637	66.5
0010170.01	20.68991460707971	1078.5
0010170.02	48.231511254019296	2562.7
0010171.00	30.14065639651708	1250.2
0010172.02	20.649211200132154	1094.8
0010172.03	37.84533871578151	2398.1
0010172.04	23.610347845555758	1084.2
0010172.05	40.11650272022861	2518.5
0010172.06	36.36041149343739	1748.8
0010200.01	5.086184300852482	165.9
0010200.02	1.7251201566248626	189.6
0010200.03	0.5953250745509355	45.4
0010201.00	0.796746911867988	86.5
0010202.01	2.251535694182717	186.6
0010202.02	5.312385696619232	338.2
0010202.06	11.670349862190548	1051.6
0010202.07	13.323710653416978	2538.7
0010202.08	2.9174838322770964	738.6
0010202.09	0.21081035500463782	620.8
0010202.10	3.635913542617548	514.2
0010300.01	11.05925134491743	867.3
0010300.02	2.6043927424255577	889.3
0010301.01	11.751309496697791	322.3
0010301.02	7.117187568645713	599.5
0010302.00	1.6479800878543867	316.5
0010400.00	0.47613114873781603	19.6
2050001.00	7.01397534587666	723
2050002.00	5.730111737178874	725.6
2050003.00	71.04194857916103	1220
2050004.01	311.5911923556294	8402.6
2050004.02	278.00829875518673	11340.2
2050005.00	24.713839750260146	2358.2
2050006.00	127.134724857685	3371
2050007.00	270.596346087556	1677.9
2050008.00	1575.7094661639214	10325.5
2050009.00	4906.284454244763	4528.3
2050010.00	231.3039309683605	7213.6
2050011.00	298.4520123839009	7446.4
2050012.00	333.8479351601698	5598.2
2050013.00	43.483662566778484	3267.5
2050014.00	28.29931972789116	2389.1
2050015.00	54.8428165703653	2638.8
2050016.00	5.853430110044486	1569.1
2050017.00	7.898080423062394	1029.8
2050018.00	168.2296513708927	2690.2
2050019.00	241.3831817671494	5755
2050020.00	218.32749123685528	3607.4
2050021.00	106.0554225111187	4041.5
2050022.00	97.06681726730437	1969.9
2050023.00	134.02732595966168	3388.4
2050024.00	57.77961205117623	3951.9
2050025.01	65.73306659045441	4954.7
2050025.02	45.478306325143755	2882.9
2050025.04	114.21041071820778	5291
2050025.05	28.927744921573666	2408.1
2050026.02	54.35863440503812	3218.4
2050026.03	25.84721424468696	2403.8
2050026.04	73.45065034429993	6650.3
2050026.05	27.22676001555815	5012.3
2050027.00	23.34474632042332	2307.6
2050100.00	24.83089305591232	745.3
2050101.00	38.27980142353012	2079.1
2050102.00	467.31803378020146	3771.1
2050103.00	60.22505150826774	2261.6
2050104.01	168.6882480520524	1587.3
2050104.03	9.380463053767109	1328.6
2050104.04	13.001300130013002	2628.3
2050104.05	66.67555674089878	1908.3
2050105.01	15.11715797430083	2627.9
2050105.02	15.191075243294565	2169
2050106.01	36.54314655725093	2409.3
2050106.02	5.913660555884092	570.9
2050107.00	26.652798543847105	2058.1
2050108.00	48.47096148761787	2141.1
2050109.00	37.890748342279764	2617.6
2050110.00	178.8375558867362	2259.1
2050111.00	121.56175955496033	3428.5
2050112.00	43.745063491099096	1522
2050113.00	51.44336315082408	457.7
2050114.00	36.405895441827674	413.4
2050120.00	1.4914878656808641	95.9
2050121.02	70.55531901952436	1912.3
2050121.03	0.8421619982819896	108.2
2050121.05	3.68333021357277	308.1
2050121.06	6.453397252696598	867.1
2050121.08	11.459858661743173	2227.7
2050121.09	26.595744680851062	1106.4
2050121.10	2.4804844240169257	778.4
2050122.01	46.61365505895256	2172.3
2050122.03	1.78046137172937	83
